epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1784.4,0.82074,1.25405,1.28698,0.60742,0.65893,0.70705,0.56936,0.69078,1.17844,1.18825,0.000660045,0.000660045,0.000660045
43,1824.93,0.81888,1.23217,1.26966,0.75549,0.66686,0.75445,0.61782,0.65851,1.01496,1.13989,0.000649046,0.000649046,0.000649046
44,1869.28,0.80809,1.20673,1.26665,0.66392,0.63175,0.68719,0.54764,0.68398,1.19662,1.18722,0.000638047,0.000638047,0.000638047
45,1912.12,0.8052,1.21157,1.27301,0.69024,0.68488,0.73174,0.59252,0.68426,1.10538,1.18302,0.000627048,0.000627048,0.000627048
46,1958.87,0.79273,1.19345,1.26334,0.69434,0.72576,0.76255,0.6174,0.69684,1.03636,1.17097,0.000616049,0.000616049,0.000616049
47,1999.84,0.78929,1.19985,1.25408,0.70958,0.68152,0.76036,0.62349,0.68299,1.10328,1.18663,0.000605051,0.000605051,0.000605051
48,2042.02,0.79105,1.16049,1.25435,0.78777,0.68539,0.76886,0.63811,0.66174,0.96823,1.15336,0.000594052,0.000594052,0.000594052
49,2085.36,0.80149,1.16671,1.25701,0.7074,0.71371,0.7676,0.62838,0.68875,1.01055,1.20232,0.000583053,0.000583053,0.000583053
50,2126.47,0.78094,1.1385,1.24331,0.74058,0.72644,0.75913,0.62892,0.66757,1.02584,1.16944,0.000572054,0.000572054,0.000572054
51,2169.57,0.77435,1.11362,1.23913,0.71501,0.6383,0.74003,0.6083,0.66705,1.18418,1.17516,0.000561055,0.000561055,0.000561055
52,2210.71,0.76831,1.08493,1.23511,0.7274,0.74983,0.79208,0.65948,0.65758,0.92943,1.16981,0.000550056,0.000550056,0.000550056
53,2251.85,0.76762,1.09409,1.24378,0.62171,0.73252,0.73136,0.60724,0.6432,1.09955,1.1553,0.000539057,0.000539057,0.000539057
54,2295.52,0.75892,1.09344,1.24208,0.75039,0.69325,0.76933,0.64295,0.63553,1.02385,1.12808,0.000528058,0.000528058,0.000528058
55,2336.38,0.75898,1.08386,1.23862,0.72738,0.69729,0.77503,0.65216,0.62384,1.05999,1.11661,0.000517059,0.000517059,0.000517059
56,2379.07,0.76464,1.07949,1.2343,0.72346,0.62969,0.72838,0.6082,0.64409,1.11548,1.1352,0.00050606,0.00050606,0.00050606
57,2421.75,0.75757,1.06652,1.23196,0.65985,0.69969,0.75175,0.62759,0.66707,1.10436,1.18504,0.000495062,0.000495062,0.000495062
58,2462.4,0.75779,1.06846,1.23162,0.7306,0.72042,0.78313,0.64884,0.62521,0.94588,1.14141,0.000484063,0.000484063,0.000484063
59,2507,0.751,1.04422,1.23374,0.7016,0.66648,0.74376,0.60822,0.63148,1.06609,1.14646,0.000473064,0.000473064,0.000473064
60,2547.93,0.7475,1.03075,1.22537,0.65667,0.70345,0.72917,0.59721,0.70232,1.16063,1.15979,0.000462065,0.000462065,0.000462065
61,2590.34,0.73029,1.02911,1.21324,0.79588,0.69322,0.78739,0.66298,0.61576,0.92189,1.1277,0.000451066,0.000451066,0.000451066
62,2632.58,0.73417,1.00956,1.21121,0.75231,0.71324,0.79545,0.67164,0.60922,0.94374,1.12353,0.000440067,0.000440067,0.000440067
63,2673.35,0.71184,0.98946,1.20901,0.70012,0.71036,0.77396,0.66418,0.59558,0.99259,1.11555,0.000429068,0.000429068,0.000429068
64,2716.3,0.73217,0.99373,1.21508,0.79785,0.70592,0.79106,0.67604,0.58979,0.94241,1.09854,0.000418069,0.000418069,0.000418069
